Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,B430211,Malignant neoplasm of endometrium,res69: cancer,diagnostic
Read,1959AE,,res69: cancer,diagnostic
Read,B50y.00,Malignant neoplasm of other specified site of eye,res69: cancer,diagnostic
Read,B443.00,Malignant neoplasm of parametrium,res69: cancer,diagnostic
Read,B322100,Malignant melanoma of external auditory meatus,res69: cancer,diagnostic
Read,1739CS,,res69: cancer,diagnostic
Read,B304000,Malignant neoplasm of scapula,res69: cancer,diagnostic
Read,B337200,Malignant neoplasm of skin of knee,res69: cancer,diagnostic
Read,180 C,,res69: cancer,diagnostic
Read,B110.00,Malignant neoplasm of cardia of stomach,res69: cancer,diagnostic
Read,B470z00,Malignant neoplasm of undescended testis NOS,res69: cancer,diagnostic
Read,B626500,Mast cell malignancy of lymph nodes inguinal region and leg,res69: cancer,diagnostic
Read,B203.00,Malignant neoplasm of ethmoid sinus,res69: cancer,diagnostic
Read,B551.00,Malignant neoplasm of thorax,res69: cancer,diagnostic
Read,B510500,Malignant neoplasm of thalamus,res69: cancer,diagnostic
Read,B627W00,Unspecified B-cell non-Hodgkin's lymphoma,res69: cancer,diagnostic
Read,B622.00,Sezary's disease,res69: cancer,diagnostic
Read,B653.00,Myeloid sarcoma,res69: cancer,diagnostic
Read,1991M,,res69: cancer,diagnostic
Read,1439A,,res69: cancer,diagnostic
Read,B431000,Malignant neoplasm of lower uterine segment,res69: cancer,diagnostic
Read,B325z00,"Malignant melanoma of trunk, excluding scrotum, NOS",res69: cancer,diagnostic
Read,B626z00,Malignant mast cell tumour NOS,res69: cancer,diagnostic
Read,B33..14,Malignant neoplasm of sebaceous gland,res69: cancer,diagnostic
Read,B323000,Malignant melanoma of external surface of cheek,res69: cancer,diagnostic
Read,1619C,,res69: cancer,diagnostic
Read,B060200,Malignant neoplasm of overlapping lesion of tonsil,res69: cancer,diagnostic
Read,1409A,,res69: cancer,diagnostic
Read,B303z00,"Malignant neoplasm of rib, sternum and clavicle NOS",res69: cancer,diagnostic
Read,B223000,Malignant neoplasm of middle lobe bronchus,res69: cancer,diagnostic
Read,B620300,Nodular lymphoma of intra-abdominal lymph nodes,res69: cancer,diagnostic
Read,1618A,,res69: cancer,diagnostic
Read,2059MC,,res69: cancer,diagnostic
Read,B48y100,Malignant neoplasm of tunica vaginalis,res69: cancer,diagnostic
Read,B306.00,"Malignant neoplasm of pelvic bones, sacrum and coccyx",res69: cancer,diagnostic
Read,B308200,Malignant neoplasm of calcaneum,res69: cancer,diagnostic
Read,B624.11,Leukaemic reticuloendotheliosis,res69: cancer,diagnostic
Read,B624000,Leukaemic reticuloendotheliosis of unspecified sites,res69: cancer,diagnostic
Read,B201100,Malignant neoplasm of tympanic cavity,res69: cancer,diagnostic
Read,Byu9.00,[X]Malignant neoplasm of urinary tract,res69: cancer,diagnostic
Read,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS,res69: cancer,diagnostic
Read,188 RC,,res69: cancer,diagnostic
Read,B241z00,Malignant neoplasm of heart NOS,res69: cancer,diagnostic
Read,B410100,Malignant neoplasm of endocervical gland,res69: cancer,diagnostic
Read,B180100,Malignant neoplasm of perinephric tissue,res69: cancer,diagnostic
Read,B20..00,"Malig neop nasal cavities, middle ear and accessory sinuses",res69: cancer,diagnostic
Read,B61zz00,Hodgkin's disease NOS,res69: cancer,diagnostic
Read,B61z400,Hodgkin's disease NOS of lymph nodes of axilla and arm,res69: cancer,diagnostic
Read,1943A,,res69: cancer,diagnostic
Read,1991MT,,res69: cancer,diagnostic
Read,B313000,Malignant neoplasm of connective and soft tissue of axilla,res69: cancer,diagnostic
Read,B34z.00,Malignant neoplasm of female breast NOS,res69: cancer,diagnostic
Read,ZV10.00,[V]Personal history of malignant neoplasm,res69: cancer,diagnostic
Read,B065.00,Malignant neoplasm of junctional region of epiglottis,res69: cancer,diagnostic
Read,B545.00,Malignant neoplasm of aortic body and other paraganglia,res69: cancer,diagnostic
Read,B305100,Malignant neoplasm of carpal bone - lunate,res69: cancer,diagnostic
Read,1530AC,,res69: cancer,diagnostic
Read,B331.00,Malignant neoplasm of eyelid including canthus,res69: cancer,diagnostic
Read,B213.00,Malignant neoplasm of laryngeal cartilage,res69: cancer,diagnostic
Read,B500200,Malignant neoplasm of crystalline lens,res69: cancer,diagnostic
Read,B04z.00,Malignant neoplasm of floor of mouth NOS,res69: cancer,diagnostic
Read,B06z.00,Malignant neoplasm of oropharynx NOS,res69: cancer,diagnostic
Read,1991MR,,res69: cancer,diagnostic
Read,1459C,,res69: cancer,diagnostic
Read,B003100,"Malignant neoplasm of lower lip, frenulum",res69: cancer,diagnostic
Read,B483.00,"Malignant neoplasm of penis, part unspecified",res69: cancer,diagnostic
Read,B151400,Malignant neoplasm of intrahepatic gall duct,res69: cancer,diagnostic
Read,2079PC,,res69: cancer,diagnostic
Read,1519CL,,res69: cancer,diagnostic
Read,B052.00,Malignant neoplasm of hard palate,res69: cancer,diagnostic
Read,203 HC,,res69: cancer,diagnostic
Read,B327300,Malignant melanoma of popliteal fossa area,res69: cancer,diagnostic
Read,180 A,,res69: cancer,diagnostic
Read,B306200,Malignant neoplasm of pubis,res69: cancer,diagnostic
Read,B18y600,Malignant neoplasm of the pouch of Douglas,res69: cancer,diagnostic
Read,1959BD,,res69: cancer,diagnostic
Read,B613800,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites",res69: cancer,diagnostic
Read,1600A,,res69: cancer,diagnostic
Read,B0z0.00,Malignant neoplasm of pharynx unspecified,res69: cancer,diagnostic
Read,B221000,Malignant neoplasm of carina of bronchus,res69: cancer,diagnostic
Read,B015.00,"Malignant neoplasm of tongue, junctional zone",res69: cancer,diagnostic
Read,191 BC,,res69: cancer,diagnostic
Read,B307000,Malignant neoplasm of femur,res69: cancer,diagnostic
Read,B517.00,Malignant neoplasm of brain stem,res69: cancer,diagnostic
Read,B03y.00,Malignant neoplasm of other sites of gum,res69: cancer,diagnostic
Read,B615.00,"Hodgkin's disease, mixed cellularity",res69: cancer,diagnostic
Read,B307200,Malignant neoplasm of tibia,res69: cancer,diagnostic
Read,B103.00,Malignant neoplasm of upper third of oesophagus,res69: cancer,diagnostic
Read,1460A,,res69: cancer,diagnostic
Read,1541C,,res69: cancer,diagnostic
Read,B03z.00,Malignant neoplasm of gum NOS,res69: cancer,diagnostic
Read,B602200,Burkitt's lymphoma of intrathoracic lymph nodes,res69: cancer,diagnostic
Read,B62xX00,Oth and unspecif peripheral & cutaneous T-cell lymphomas,res69: cancer,diagnostic
Read,ByuD800,[X]Other specified leukaemias,res69: cancer,diagnostic
Read,B305D00,Malignant neoplasm of phalanges of hand,res69: cancer,diagnostic
Read,186 T,,res69: cancer,diagnostic
Read,186 C,,res69: cancer,diagnostic
Read,1709AK,,res69: cancer,diagnostic
Read,B307z00,Malignant neoplasm of long bones of leg NOS,res69: cancer,diagnostic
Read,B620800,Nodular lymphoma of lymph nodes of multiple sites,res69: cancer,diagnostic
Read,B550300,Malignant neoplasm of jaw NOS,res69: cancer,diagnostic
Read,B630300,Lambda light chain myeloma,res69: cancer,diagnostic
Read,1560C,,res69: cancer,diagnostic
Read,B41y100,Malignant neoplasm of squamocolumnar junction of cervix,res69: cancer,diagnostic
Read,B51y000,Malignant neoplasm of corpus callosum,res69: cancer,diagnostic
Read,B4Ay.00,Malignant neoplasm of other urinary organs,res69: cancer,diagnostic
Read,B312z00,Malig neop connective and soft tissue hip and leg NOS,res69: cancer,diagnostic
Read,B339.00,Dermatofibrosarcoma protuberans,res69: cancer,diagnostic
Read,159 CD,,res69: cancer,diagnostic
Read,B25..00,"Malig neo, overlapping lesion of heart, mediastinum & pleura",res69: cancer,diagnostic
Read,B550z00,"Malignant neoplasm of head, neck and face NOS",res69: cancer,diagnostic
Read,1723C,,res69: cancer,diagnostic
Read,B314100,Malig neoplasm of connective and soft tissues of lumb spine,res69: cancer,diagnostic
Read,Byu9000,"[X]Malignant neoplasm of urinary organ, unspecified",res69: cancer,diagnostic
Read,B337z00,Malignant neoplasm of skin of lower limb or hip NOS,res69: cancer,diagnostic
Read,B172.00,Malignant neoplasm of tail of pancreas,res69: cancer,diagnostic
Read,ZV10416,[V]Personal history of malignant neoplasm of testis,res69: cancer,diagnostic
Read,B505.00,Malignant neoplasm of retina,res69: cancer,diagnostic
Read,Byu0.00,"[X]Malignant neoplasm of lip, oral cavity and pharynx",res69: cancer,diagnostic
Read,B0zz.00,"Malignant neoplasm of lip, oral cavity and pharynx NOS",res69: cancer,diagnostic
Read,B517300,Malignant neoplasm of pons,res69: cancer,diagnostic
Read,B336100,Malignant neoplasm of skin of upper arm,res69: cancer,diagnostic
Read,B24z.00,"Malignant neoplasm of heart, thymus and mediastinum NOS",res69: cancer,diagnostic
Read,1520B,,res69: cancer,diagnostic
Read,203 A,,res69: cancer,diagnostic
Read,B430300,Malignant neoplasm of myometrium of corpus uteri,res69: cancer,diagnostic
Read,B331200,Malignant neoplasm of lower eyelid,res69: cancer,diagnostic
Read,209 HM,,res69: cancer,diagnostic
Read,B440.00,Malignant neoplasm of ovary,res69: cancer,diagnostic
Read,B2z0.00,"Malig neop of upper respiratory tract, part unspecified",res69: cancer,diagnostic
Read,ByuA100,"[X]Malignant neoplasm/central nervous system, unspecified",res69: cancer,diagnostic
Read,1890NR,,res69: cancer,diagnostic
Read,1929DG,,res69: cancer,diagnostic
Read,B62z600,Unspec malig neop lymphoid/histiocytic of intrapelvic nodes,res69: cancer,diagnostic
Read,B63..00,Multiple myeloma and immunoproliferative neoplasms,res69: cancer,diagnostic
Read,B0z..00,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",res69: cancer,diagnostic
Read,B48y200,"Malignant neoplasm, overlapping lesion male genital orgs",res69: cancer,diagnostic
Read,B4A2.00,Malignant neoplasm of ureter,res69: cancer,diagnostic
Read,B61z800,Hodgkin's disease NOS of lymph nodes of multiple sites,res69: cancer,diagnostic
Read,1733AF,,res69: cancer,diagnostic
Read,B544.00,Malignant neoplasm of carotid body,res69: cancer,diagnostic
Read,B54z.00,Malig neop of endocrine gland or related structure NOS,res69: cancer,diagnostic
Read,B312400,Malignant neoplasm of connective and soft tissue of foot,res69: cancer,diagnostic
Read,B083.00,Malignant neoplasm of posterior pharynx,res69: cancer,diagnostic
Read,B43z.00,Malignant neoplasm of body of uterus NOS,res69: cancer,diagnostic
Read,B48z.00,Malignant neoplasm of penis and other male genital organ NOS,res69: cancer,diagnostic
Read,B54y.00,Malignant neoplasm of other specified endocrine gland,res69: cancer,diagnostic
Read,ByuA.00,"[X]Malignant neoplasm of eye, brain and other parts of cent",res69: cancer,diagnostic
Read,B615100,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",res69: cancer,diagnostic
Read,B62y300,Malignant lymphoma NOS of intra-abdominal lymph nodes,res69: cancer,diagnostic
Read,1719RB,,res69: cancer,diagnostic
Read,B323200,Malignant melanoma of eyebrow,res69: cancer,diagnostic
Read,B625z00,Letterer-Siwe disease NOS,res69: cancer,diagnostic
Read,B017.00,Malignant overlapping lesion of tongue,res69: cancer,diagnostic
Read,B624300,Leukaemic reticuloend of intra-abdominal lymph nodes,res69: cancer,diagnostic
Read,B47z.12,Teratoma of testis,res69: cancer,diagnostic
Read,B551000,Malignant neoplasm of axilla NOS,res69: cancer,diagnostic
Read,Byu4200,[X]Oth malignant neoplasm/skin of oth+unspecfd parts of face,res69: cancer,diagnostic
Read,B512z00,Malignant neoplasm of temporal lobe NOS,res69: cancer,diagnostic
Read,B55y200,Malignant neoplasm of flank NOS,res69: cancer,diagnostic
Read,B4A1100,Malignant neoplasm of ureteropelvic junction,res69: cancer,diagnostic
Read,149 A,,res69: cancer,diagnostic
Read,B205.00,Malignant neoplasm of sphenoidal sinus,res69: cancer,diagnostic
Read,ZV10y14,[V]Personal history of malignant neoplasm of skin,res69: cancer,diagnostic
Read,B545200,Malignant neoplasm of coccygeal body,res69: cancer,diagnostic
Read,ZV10512,[V]Personal history of malignant neoplasm of kidney,res69: cancer,diagnostic
Read,B675.00,Acute myelofibrosis,res69: cancer,diagnostic
Read,B55..00,Malignant neoplasm of other and ill-defined sites,res69: cancer,diagnostic
Read,B067.00,Malignant neoplasm of posterior wall of oropharynx,res69: cancer,diagnostic
Read,B49y000,"Malignant neoplasm, overlapping lesion of bladder",res69: cancer,diagnostic
Read,B214.00,"Malignant neoplasm, overlapping lesion of larynx",res69: cancer,diagnostic
Read,Byu5500,[X]Mal neoplasm/overlap les/periph nerv+autonomic nerv systm,res69: cancer,diagnostic
Read,2022,,res69: cancer,diagnostic
Read,B213300,Malignant neoplasm of thyroid cartilage,res69: cancer,diagnostic
Read,B337500,Malignant neoplasm of skin of ankle,res69: cancer,diagnostic
Read,B1zy.00,Malignant neoplasm other spec digestive tract and peritoneum,res69: cancer,diagnostic
Read,1550B,,res69: cancer,diagnostic
Read,B300900,Malignant neoplasm of zygomatic bone,res69: cancer,diagnostic
Read,1929D,,res69: cancer,diagnostic
Read,159,,res69: cancer,diagnostic
Read,B111000,Malignant neoplasm of prepylorus of stomach,res69: cancer,diagnostic
Read,B07y.00,Malignant neoplasm of other specified site of nasopharynx,res69: cancer,diagnostic
Read,B26..00,"Malignant neoplasm, overlap lesion of resp & intrathor orgs",res69: cancer,diagnostic
Read,1890HM,,res69: cancer,diagnostic
Read,201 G,,res69: cancer,diagnostic
Read,Byu7300,"[X]Malignant neoplasm of female genital organ, unspecified",res69: cancer,diagnostic
Read,B495.00,Malignant neoplasm of bladder neck,res69: cancer,diagnostic
Read,B335500,Malignant neoplasm of skin of groin,res69: cancer,diagnostic
Read,2104DN,,res69: cancer,diagnostic
Read,B347.00,"Malignant neoplasm, overlapping lesion of breast",res69: cancer,diagnostic
Read,B323.00,Malignant melanoma of other and unspecified parts of face,res69: cancer,diagnostic
Read,B500100,Malignant neoplasm of iris,res69: cancer,diagnostic
Read,B161.00,Malignant neoplasm of extrahepatic bile ducts,res69: cancer,diagnostic
Read,B180.00,Malignant neoplasm of retroperitoneum,res69: cancer,diagnostic
Read,B133.00,Malignant neoplasm of sigmoid colon,res69: cancer,diagnostic
Read,B524200,"Malignant neoplasm of peripheral nerve of low limb, incl hip",res69: cancer,diagnostic
Read,B302z00,Malignant neoplasm of vertebral column NOS,res69: cancer,diagnostic
Read,B553100,Malignant neoplasm of presacral region,res69: cancer,diagnostic
Read,B05z000,Kaposi's sarcoma of palate,res69: cancer,diagnostic
Read,B523.00,Malignant neoplasm of spinal meninges,res69: cancer,diagnostic
Read,188 TC,,res69: cancer,diagnostic
Read,1420A,,res69: cancer,diagnostic
Read,B06yz00,Malignant neoplasm of other specified site of oropharynx NOS,res69: cancer,diagnostic
Read,B11z.00,Malignant neoplasm of stomach NOS,res69: cancer,diagnostic
Read,1709D,,res69: cancer,diagnostic
Read,B200.00,Malignant neoplasm of nasal cavities,res69: cancer,diagnostic
Read,B10..00,Malignant neoplasm of oesophagus,res69: cancer,diagnostic
Read,B306500,Malignant sacral teratoma,res69: cancer,diagnostic
Read,1560A,,res69: cancer,diagnostic
Read,B51y.00,Malignant neoplasm of other parts of brain,res69: cancer,diagnostic
Read,1550BH,,res69: cancer,diagnostic
Read,ZV10012,[V]Personal history of malig neop of gastrointestinal tract,res69: cancer,diagnostic
Read,1542C,,res69: cancer,diagnostic
Read,B552.00,Malignant neoplasm of abdomen,res69: cancer,diagnostic
Read,1608CM,,res69: cancer,diagnostic
Read,1601A,,res69: cancer,diagnostic
Read,B315000,Malignant neoplasm of connective and soft tissue of buttock,res69: cancer,diagnostic
Read,1991A,,res69: cancer,diagnostic
Read,1703A,,res69: cancer,diagnostic
Read,ByuA300,"[X]Malig neopl, overlap lesion brain & other part of CNS",res69: cancer,diagnostic
Read,B64y100,Prolymphocytic leukaemia,res69: cancer,diagnostic
Read,B113.00,Malignant neoplasm of fundus of stomach,res69: cancer,diagnostic
Read,B613600,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",res69: cancer,diagnostic
Read,2022GR,,res69: cancer,diagnostic
Read,B1z1z00,Malignant neoplasm of spleen NOS,res69: cancer,diagnostic
Read,B614200,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,res69: cancer,diagnostic
Read,B331100,Malignant neoplasm of upper eyelid,res69: cancer,diagnostic
Read,B335400,Malignant neoplasm of skin of umbilicus,res69: cancer,diagnostic
Read,ZV10011,[V]Personal history of malignant neoplasm of anus,res69: cancer,diagnostic
Read,B51..11,Cerebral tumour - malignant,res69: cancer,diagnostic
Read,2059MB,,res69: cancer,diagnostic
Read,B160.11,Carcinoma gallbladder,res69: cancer,diagnostic
Read,B4A3.00,Malignant neoplasm of urethra,res69: cancer,diagnostic
Read,B03..00,Malignant neoplasm of gum,res69: cancer,diagnostic
Read,B312000,Malignant neoplasm of connective and soft tissue of hip,res69: cancer,diagnostic
Read,B521z00,Malignant neoplasm of cerebral meninges NOS,res69: cancer,diagnostic
Read,B307100,Malignant neoplasm of fibula,res69: cancer,diagnostic
Read,B300C00,Malignant neoplasm of vomer,res69: cancer,diagnostic
Read,B325800,Malignant melanoma of chest wall,res69: cancer,diagnostic
Read,203 PL,,res69: cancer,diagnostic
Read,B524000,"Malignant neoplasm of peripheral nerves of head, face & neck",res69: cancer,diagnostic
Read,1550HB,,res69: cancer,diagnostic
Read,B497.00,Malignant neoplasm of urachus,res69: cancer,diagnostic
Read,186 TA,,res69: cancer,diagnostic
Read,1459A,,res69: cancer,diagnostic
Read,ByuD.00,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela",res69: cancer,diagnostic
Read,B117.00,"Malignant neoplasm, overlapping lesion of stomach",res69: cancer,diagnostic
Read,1992L,,res69: cancer,diagnostic
Read,2059MR,,res69: cancer,diagnostic
Read,2029LD,,res69: cancer,diagnostic
Read,B430100,Malignant neoplasm of fundus of corpus uteri,res69: cancer,diagnostic
Read,ZV10513,[V]Personal history of malignant neoplasm of kidney,res69: cancer,diagnostic
Read,B327100,Malignant melanoma of thigh,res69: cancer,diagnostic
Read,B163.00,"Malignant neoplasm, overlapping lesion of biliary tract",res69: cancer,diagnostic
Read,2059M,,res69: cancer,diagnostic
Read,B013z00,Malignant neoplasm of ventral tongue surface NOS,res69: cancer,diagnostic
Read,B102.00,Malignant neoplasm of abdominal oesophagus,res69: cancer,diagnostic
Read,ZV10y11,[V]Personal history of malignant neoplasm of bone,res69: cancer,diagnostic
Read,B41y.00,Malignant neoplasm of other site of cervix,res69: cancer,diagnostic
Read,B613000,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",res69: cancer,diagnostic
Read,B07..00,Malignant neoplasm of nasopharynx,res69: cancer,diagnostic
Read,ZV10711,[V]Personal history of Hodgkin's disease,res69: cancer,diagnostic
Read,B690.00,Acute myelomonocytic leukaemia,res69: cancer,diagnostic
Read,B161200,Malignant neoplasm of common bile duct,res69: cancer,diagnostic
Read,B10z.11,Oesophageal cancer,res69: cancer,diagnostic
Read,B41..11,Cervical carcinoma (uterus),res69: cancer,diagnostic
Read,B61z.00,Hodgkin's disease NOS,res69: cancer,diagnostic
Read,2060,,res69: cancer,diagnostic
Read,B507.00,Malignant neoplasm of lacrimal duct,res69: cancer,diagnostic
Read,1739A,,res69: cancer,diagnostic
Read,B627000,Follicular non-Hodgkin's small cleaved cell lymphoma,res69: cancer,diagnostic
Read,B20z.00,Malignant neoplasm of accessory sinus NOS,res69: cancer,diagnostic
Read,1735C,,res69: cancer,diagnostic
Read,B134.00,Malignant neoplasm of caecum,res69: cancer,diagnostic
Read,B200z00,Malignant neoplasm of nasal cavities NOS,res69: cancer,diagnostic
Read,B621500,Mycosis fungoides of lymph nodes of inguinal region and leg,res69: cancer,diagnostic
Read,B601.00,Lymphosarcoma,res69: cancer,diagnostic
Read,B4...11,Carcinoma of genitourinary organ,res69: cancer,diagnostic
Read,ByuD200,[X]Other types of diffuse non-Hodgkin's lymphoma,res69: cancer,diagnostic
Read,B11y100,Malignant neoplasm of posterior wall of stomach NEC,res69: cancer,diagnostic
Read,B10y.00,Malignant neoplasm of other specified part of oesophagus,res69: cancer,diagnostic
Read,B431.00,Malignant neoplasm of isthmus of uterine body,res69: cancer,diagnostic
Read,B051.00,Malignant neoplasm of vestibule of mouth,res69: cancer,diagnostic
Read,Byu2100,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura",res69: cancer,diagnostic
Read,B311.00,Malig neop connective and soft tissue upper limb/shoulder,res69: cancer,diagnostic
Read,B115.00,Malignant neoplasm of lesser curve of stomach unspecified,res69: cancer,diagnostic
Read,B674.00,Acute panmyelosis,res69: cancer,diagnostic
Read,B01y.00,Malignant neoplasm of other sites of tongue,res69: cancer,diagnostic
Read,B487.00,"Malignant neoplasm, overlapping lesion of penis",res69: cancer,diagnostic
Read,B06..00,Malignant neoplasm of oropharynx,res69: cancer,diagnostic
Read,B002200,"Malignant neoplasm of upper lip, mucosa",res69: cancer,diagnostic
Read,1991AD,,res69: cancer,diagnostic
Read,2020BR,,res69: cancer,diagnostic
Read,B517000,Malignant neoplasm of cerebral peduncle,res69: cancer,diagnostic
Read,144 C,,res69: cancer,diagnostic
Read,B64..00,Lymphoid leukaemia,res69: cancer,diagnostic
Read,B340100,Malignant neoplasm of areola of female breast,res69: cancer,diagnostic
Read,B336300,Malignant neoplasm of skin of hand,res69: cancer,diagnostic
Read,B313100,Malignant neoplasm of diaphragm,res69: cancer,diagnostic
Read,B011100,Malignant neoplasm of midline of tongue,res69: cancer,diagnostic
Read,B47z.00,Malignant neoplasm of testis NOS,res69: cancer,diagnostic
Read,B326200,Malignant melanoma of fore-arm,res69: cancer,diagnostic
Read,186 NT,,res69: cancer,diagnostic
Read,B011.00,Malignant neoplasm of dorsal surface of tongue,res69: cancer,diagnostic
Read,B2...11,Carcinoma of respiratory tract and intrathoracic organs,res69: cancer,diagnostic
Read,B073z00,Malignant neoplasm of anterior wall of nasopharynx NOS,res69: cancer,diagnostic
Read,B306300,Malignant neoplasm of sacral vertebra,res69: cancer,diagnostic
Read,B682.00,Subacute leukaemia NOS,res69: cancer,diagnostic
Read,B32y.00,Malignant melanoma of other specified skin site,res69: cancer,diagnostic
Read,B303000,Malignant neoplasm of rib,res69: cancer,diagnostic
Read,B524600,"Malignant neoplasm,overlap lesion periph nerve & auton ns",res69: cancer,diagnostic
Read,B50z.00,Malignant neoplasm of eye NOS,res69: cancer,diagnostic
Read,B300800,Malignant neoplasm of temporal bone,res69: cancer,diagnostic
Read,B326000,Malignant melanoma of shoulder,res69: cancer,diagnostic
Read,1830AU,,res69: cancer,diagnostic
Read,B304300,Malignant neoplasm of radius,res69: cancer,diagnostic
Read,B553z00,Malignant neoplasm of pelvis NOS,res69: cancer,diagnostic
Read,B315100,Malig neop of connective and soft tissue of inguinal region,res69: cancer,diagnostic
Read,B650.00,Acute myeloid leukaemia,res69: cancer,diagnostic
Read,B241200,Malignant neoplasm of myocardium,res69: cancer,diagnostic
Read,B17y000,Malignant neoplasm of ectopic pancreatic tissue,res69: cancer,diagnostic
Read,B336400,Malignant neoplasm of skin of finger,res69: cancer,diagnostic
Read,1870A,,res69: cancer,diagnostic
Read,B18..00,Malignant neoplasm of retroperitoneum and peritoneum,res69: cancer,diagnostic
Read,B300500,Malignant neoplasm of orbital bone,res69: cancer,diagnostic
Read,B550200,Malignant neoplasm of nose NOS,res69: cancer,diagnostic
Read,1630A,,res69: cancer,diagnostic
Read,B2zy.00,Malignant neoplasm of other site of respiratory tract,res69: cancer,diagnostic
Read,1929MN,,res69: cancer,diagnostic
Read,B601000,Lymphosarcoma of unspecified site,res69: cancer,diagnostic
Read,B672.00,Megakaryocytic leukaemia,res69: cancer,diagnostic
Read,B110000,Malignant neoplasm of cardiac orifice of stomach,res69: cancer,diagnostic
Read,1991CR,,res69: cancer,diagnostic
Read,1429B,,res69: cancer,diagnostic
Read,B072.00,Malignant neoplasm of lateral wall of nasopharynx,res69: cancer,diagnostic
Read,1890MB,,res69: cancer,diagnostic
Read,1429C,,res69: cancer,diagnostic
Read,B066.00,Malignant neoplasm of lateral wall of oropharynx,res69: cancer,diagnostic
Read,B52z.00,Malignant neoplasm of nervous system NOS,res69: cancer,diagnostic
Read,B1...11,Carcinoma of digestive organs and peritoneum,res69: cancer,diagnostic
