Coding System (SNOMED),Codes,Description,Entity type,Category
SNOMED,35926005,Repair of knee cruciate ligaments,res174: knee diagnoses,diagnostic
SNOMED,76934002,Repair of knee collateral ligaments,res174: knee diagnoses,diagnostic
SNOMED,309566008,Problem knee,res174: knee diagnoses,diagnostic
SNOMED,239426007,Repair of anterior cruciate ligament of knee joint,res174: knee diagnoses,diagnostic
SNOMED,74016001,Radiologic examination of knee,res174: knee diagnoses,diagnostic
SNOMED,17059001,Prepatellar bursitis,res174: knee diagnoses,diagnostic
SNOMED,430725003,Patellofemoral stress syndrome,res174: knee diagnoses,diagnostic
SNOMED,450521003,Patellofemoral osteoarthritis,res174: knee diagnoses,diagnostic
SNOMED,58992007,Patellectomy,res174: knee diagnoses,diagnostic
SNOMED,37785001,Patellar tendonitis,res174: knee diagnoses,diagnostic
